X2_phon,Freq
kybl@,0.16
kydZat,0.54
kydsak,0.8
kytER2,2.23
kylo,9.73
kylt,5.37
kyltivat9R,0.82
kyltyRizm,0.41
kyltyRist,0.14
kym5,0.5
kynil5gys,0.24
kyRe,15.73
kyRaj6,0.14
kyRaR,0.22
kyRd@,1.39
kyRtaZ,0.14
kyRt6,0.38
kyRj2,4.38
k9RliG,0.12
kyRikyla,0.23
kyRikylOm,0.23
kyRikylOmvite,0.13
kyRi,1.65
kyRs9R,0.11
kyRsys,0.54
kytER,2.41
sj@,0.19
sjanyR,2.23
sibERkafe,0.17
sibERespas,0.13
sikl,8.2
siklizm,0.34
siklo,1.06
siklomot9R,0.23
siklon,1.42
siklOp,1.31
siklotR6,0.16
siN,7.26
sil5dR,1.6
sinizm,1.95
sipRE,0.52
de,2.62
d,2.62
dom,1.93
d6g,0.14
dy,2.56
de,23.36
desy,1.38
de@bylat9R,0.13
debalaZ,0.32
debaRkadER,0.43
debaRd9R,0.77
debaRk9m@,2.79
debaRa,2.79
deba,10.7
deboSe,1.09
debilite,0.34
debi,1.24
debit9R,1.28
deblEm@,0.14
debwaR,0.43
debORd9m@,0.94
debote,0.16
debuSe,0.56
debuS9R,0.11
debutonaZ,0.27
debRaje,0.43
debRifiG,0.58
debRi,4.94
debRujaR,0.36
deby,114.31
debyt@,5.82
dek,0.3
deka,1.16
desE,12.82
dekafeine,0.22
dekalaZ,2.09
dekalitR,0.11
dekap@,0.27
dekapsyl9R,0.34
dekatl6,0.27
des@bR,8.55
deSEne,0.35
deSene,0.35
deSEnm@,0.14
deSaRZ9m@,0.53
deSE,7.04
deSiRm@,0.36
desibEl,0.4
desid9R,0.23
desigRam,0.14
dekl@Sm@,0.53
dekl@S9R,0.94
deklik,1.13
dekl5,1.73
dekodaZ,0.19
dekod9R,0.39
dekolaZ,7.23
dekOlm@,0.27
dekOlte,1.76
dek6bR,1.09
dek6t,1.15
dekon9R,0.2
dek6tRakte,0.18
dekOR,8.38
dekoRat9R,2.56
dekoROm,0.17
dekupaZ,0.86
dekup9R,0.17
dekuRaZm@,0.27
dekuvER,2.72
dekuvR9R,0.33
dekRE,4.06
dekRoSaZ,0.25
dekRiptaZ,0.2
dekRipt9R,0.27
ded5,0.65
dedal,0.28
dedomaZm@,1.18
dedwanm@,0.14
dedubl9m@,0.46
ded8i,0.21
defetizm,0.56
defo,18.36
defavoRize,0.19
def@d9R,0.5
def@,0.2
def@s9R,3.74
defERl9m@,0.34
defi,12.24
defibRilat9R,0.58
defisit,1.92
defile,8.05
defulwaR,0.15
defREm@,0.42
def1,6.42
dega,14.22
deZeneRe,2.16
degaZe,0.41
degaZm@,0.44
deZEl,0.47
degu,6.02
degute,0.19
degut@,4.26
deg6fle,3.63
deguRdi,0.1
degRizm@,0.16
deg2li,0.31
degize,0.69
degizm@,4.98
degystat9R,0.12
deism,0.1
deZ9ne,51.34
delege,3.96
delE,11.04
delEse,0.14
delasm@,0.16
delat9R,0.36
delibeRe,0.26
delika,0.98
delis,6.17
del5k@,4.16
deliR,13.2
deli,13.52
delyZ,2.53
demenaZm@,2.98
demenaZ9R,1.67
demele,0.38
demEl@,0.29
dem@tElm@,0.14
demaRaZ,1.18
demaR9R,1.25
dem@bR9m@,0.14
dem@,1.92
dem@ti,1.04
demERdaR,0.16
deminaZ,0.69
demin9R,0.54
demisjonER,0.32
demjyRZ,0.16
demobilize,0.21
demolis9R,0.23
dem6,61
dem6tpn2,0.26
demyni,0.42
deni,0.84
deniS9R,0.5
denigR9m@,0.29
denominat9R,0.15
denome,2.67
denum@,1.34
deodoR@,1
depo,13.2
depanaZ,1.31
depan9R,1.86
depaR,68.49
depaRt9m@,15.53
depasm@,0.55
dep@,3.19
defazaZ,0.16
depistaZ,0.76
depi,5.82
deplase,0.68
deplasm@,5.03
depleziR,1.29
deplEziR,1.29
deplij@,0.47
deplwam@,1.25
depORte,2.38
depORt9m@,0.27
depotwaR,1.22
depujm@,0.17
depRave,1.07
depResif,0.48
depREsif,0.48
depRime,0.66
depyslaZ,0.41
depyte,10.4
deREgl9m@,1.29
deRasinm@,0.11
deRajm@,0.49
deR@Ze,0.22
deR@Zm@,3.74
deRapaZ,0.89
deRate,0.26
deRive,0.65
deRiv9R,0.14
deRulm@,0.82
deRutm@,0.28
dezekilibRe,0.2
dezekilibR,0.83
dezakOR,3.02
dezagRem@,2.01
dezamORsaZ,0.18
dezaRm9m@,1.04
dezaRwa,1.33
dezastR,12.82
dezav@taZ,0.52
dezakse,0.4
dez@paRe,0.16
dez@S@te,0.17
dez@S@tm@,0.16
dez@gaZm@,0.14
dezER,27.66
dezERt9R,3.08
dezEspeRe,2.03
dezEspwaR,10.62
dezeRite,0.41
dezabije,0.79
dezabijaZ,0.23
dezERbaZ,0.15
dezon9R,3.28
dezilyzjOnm@,0.1
dez5kaRne,0.18
dez5fEkt@,0.82
dez5teREsm@,0.33
deziR,45.35
dezist9m@,0.12
dezodoRiz@,0.45
dezORdone,0.12
dezORdR,13.64
detaSe,0.34
detaS@,0.16
detaSm@,2.5
detaS9R,0.1
detaj,55.78
detaj@,0.14
detaRtRaZ,0.12
detEkt9R,8.05
det@d9R,0.48
det@t9R,0.67
dEtny,12.67
detny,12.67
detERZ@,1.25
detERminizm,0.22
deteRe,0.4
detonat9R,4.84
detuR,6.82
detuRaZ,0.14
detuRn9m@,2.6
detRakt9R,0.29
detRake,1.57
detRim@,0.57
detRitys,1.16
detRwa,3.04
detRus9R,0.17
devlOpm@,7.09
devlop9R,0.17
devERg6de,1.39
devERujaZ,0.28
devERs9m@,0.17
devERswaR,0.18
devj@,0.21
devoly,0.17
devoR9R,0.5
devo,0.89
devum@,4.03
dine,88.45
dajkiRi,0.14
dab,0.17
dada,1.9
dadE,0.34
dagEReotip,0.1
day,0.19
d5,1.65
dajkiRi,0.41
dE,0.23
dal1,0.16
dalmasj5,0.33
daltonj5,0.12
d@,0.81
damaZ,0.1
dama,0.42
damje,0.47
dane,2.57
damwazo,16.03
dan,0.49
d@siG,1.15
d@di,2.87
d@Ze,80.61
dano,0.25
danwa,2.1
d@s9R,23.05
dafne,0.13
daR,1.61
dof5,4.71
des@tis,0.1
dil,8.76
dil9R,12.65
d9ka,0.26
dEk,0.22
dEkReSEndo,0.1
d9d@,3.73
d9gRe,21.3
d9OR,17.57
dElko,0.27
dElafR@sEska,0.34
dElta,6.59
dEltaplan,0.26
dEltoid,0.16
d9m5,50.4
d9m@d9R,0.78
d9m9Re,2.92
d9mi,4.64
d9misERkl,0.12
d9midj2,0.47
d9midj2,0.16
d9mif6,0.21
d2mifu,0.14
d9mifu,0.14
d9mifRER,2.7
d2mikilOmEtR,0.14
d9militR,0.67
d2mimiljaR,0.87
d2mimilj6,3.08
d2mimwa,0.15
d9mimOR,0.26
d9mimo,0.19
d2mipa,0.21
d2mipw5,0.14
d9misjEkl,0.17
d9misomEj,0.25
d9mitaRif,0.56
d9mit6,0.34
d9mituR,19.27
d2mivER,0.3
d9nje,1.97
d@tje,1.74
d@tifRis,3.87
dERbi,0.39
dERS,0.83
dERm,0.52
dERnje,77.22
dERjER,9.95
dERik,2.04
dERviS,0.11
des@d@,3.45
deskRiptif,0.14
dizajn,1.54
dEsk,0.11
despeRado,0.27
despOt,1.01
despotizm,0.45
des5,7.29
desER,13.4
des5,29.6
desine,0.12
desinat9R,1.86
d9su,18.14
d9sudpla,0.2
dsudtabl,0.21
d9sy,54.77
dest5,53.03
destRije,0.38
destRwaje,2.82
destRykt9R,0.94
d9j,12.24
deuseksmakina,0.16
d2teRonom,0.23
d2ma,0.14
d2pjEs,0.27
d2Ru,0.11
d9v@,4.2
d9vniR,3.38
d9v5,1.82
d2vin9R,0.15
d9vi,0.94
d9vwaR,63.59
dev6,1.98
d9v6,1.98
dEkstRoz,0.12
daRma,0.26
djEz,0.27
djabEt,2.27
djabl,93.34
djablot5,0.53
djabolik,0.47
djakR,0.94
djadEm,1.52
djagnostik,6.78
djagRam,0.77
djalEkt,1.79
djalOg,16.71
djam,0.43
djamEtR,1.81
djam@,20.56
dj@tR,0.41
djapaz6,0.5
djafRagm,1.32
diko,0.77
diktafOn,0.42
diktat9R,2.53
diksjonER,2.94
dikt6,2.83
djEm,0.58
djEsiRe,0.54
djezEl,1.71
dj2,903.41
difeRe,0.12
difeR@,2.68
difeR@sjEl,0.21
difamat9R,0.21
difyz9R,0.19
diZEst,0.23
diZEstif,0.68
dikta,0.12
dilEm,2.24
dil8@,0.21
dim@S,63.98
diminytif,0.96
dinaR,1.74
d5d6,1.73
d5dOno,0.17
d5dono,0.17
din,1.24
d5go,0.95
dinozoR,4.46
djosEz,0.44
djoRama,0.15
djOksid,0.56
diplome,1.81
diplom,17.27
diplomat,3.75
diR,53.88
diREkt,16.34
diREkt9R,64.71
diREkt9RadZw5,0.14
diREktwaR,0.17
diRam,0.43
diRiZabl,0.62
diRiZ@,6.18
diRlo,0.4
diskZokE,0.18
disERn9m@,0.9
diskobOl,0.24
disko,1.81
diskunt,0.39
diskuR,42.75
diskRedi,0.11
diz9R,0.53
disf6ksjOnm@,0.44
disZ6kt9R,1.45
dispaRy,10.07
dispatSiG,0.12
disp@sER,1.76
dispozitif,5.38
disk,33.61
disid@,0.88
disOlv@,0.41
distRE,0.52
distRibyt9R,7.88
distRikt,6.14
di,7.27
djyRetik,0.2
div@,4.92
divERtism@,4.21
divid@d,0.57
divizjonER,2.25
divORse,2.37
divORs,23.23
diksi,1.4
diksil@d,0.14
diz5,0.14
dZiad,0.44
dZin,0.36
do,16.66
dobERman,1.03
dOk,4.04
dOk,3.1
dok9R,0.9
dokER,0.9
dOkt9R,233.86
dOktoRa,4.07
dokym@,24.86
dokym@tER,4.88
dodo,7.53
dOZ,0.53
dOg9R,0.14
dOgmatizm,0.1
dOgm,0.63
dOg,0.14
dwa,85.69
dwate,1
dwa,0.25
doZo,0.93
dOl,0.34
dolaR,134.1
d6,0.39
domEn,21.57
domisil,11.69
domin@,0.11
dominat9R,0.38
dominik5,0.58
dominjOn,0.34
dominj6,0.34
domino,1.35
domaZ,65.59
d6pt9R,2.18
d6,43.78
donat9R,0.89
d6Z6,3.14
done,1.32
don9R,5.87
dopaZ,0.1
dORm@,0.21
dORm9R,1.21
dORtwaR,5.29
do,100.34
dozaZ,1.89
doz9R,0.19
dosaR,0.16
dosje,78.91
dwanje,2
duble,0.71
dublaZ,0.43
dubl,19.32
dubl2sis,0.14
duble,0.18
dubl6,0.22
dut,108.18
du,6.54
dwaj5,3.31
dRag,0.73
dRagaZ,0.15
dRag6,13.98
dRagOnje,0.1
dRag9R,0.7
dR5,1.11
dREnaZ,0.41
dRakaR,0.25
dRam,14.87
dRa,19.22
dRape,0.11
dRapo,19.69
dR2l5,0.43
dREsaZ,0.58
dREs9R,0.86
dResiG,0.28
dREfyzaR,0.27
dRibl,0.69
dRij,0.11
dR5k,0.92
dRajv,1.45
dRajvin,0.94
dRajv9R,0.31
dRiv,1.45
dRoge,6.35
dRwa,207.62
dRwatje,0.35
dRomadER,0.44
dRon,1.79
dROp,1.11
dR9gstOR,1.71
dR8id,1.18
dR9mlin,0.11
dR9m9R,0.17
dyk,12.4
dyka,1
dutSe,2.21
dyk6,6.86
d8El,7.54
d8o,2.58
d8odenOm,0.17
dyp,1.01
dyplEks,0.41
dyplikat9R,0.23
dyR,20.68
dyRj@,2.21
dyvE,1.7
dik,0.16
dinamizm,0.54
disf6ksjOnm@,0.77
2,60.91
imEjl,6.47
eklezjastik,0.25
Ekstazi,3.85
Ektoplasm,0.71
Egzema,0.64
efasm@,0.36
efas9R,0.1
efEktif,2.63
ef5di,0.19
efE,116.75
ef6dR9m@,1.83
efOR,42.7
efRwa,2.83
efR6te,1.65
ego,4.16
Elf,3.26
imEl,0.65
@bEtm@,0.69
@balaZ,4.6
@bal9R,0.15
@baRkadER,1.13
@baRgo,0.75
@baRk9m@,4.03
@baRa,5.32
@bomm@,0.68
@bom9R,0.51
@blEm,1.14
@b6pw5,0.18
@buRZwaze,0.1
@bu,0.2
@butEjaZ,3.93
@bR@Sm@,0.45
@bRazm@,0.28
@bRas9R,0.12
@bREjaZ,0.98
@bRuj9R,0.17
@bR1,0.68
@bRij6,0.96
@byske,0.58
@menaZm@,0.25
em@tal,0.15
@mERd9m@,0.84
@mERd9R,4.96
@pESm@,1.25
@pafe,0.5
@paktaZ,0.14
@pR9R,25.55
@fizEm,0.31
@piR,19.47
@platR,0.15
@plasm@,6.9
@plwa,30.94
@plwaje,30.8
@plwaj9R,4.01
@pwazOnm@,1.85
@pwazon9R,0.99
@pORte,0.61
@pORt9m@,0.97
@pote,0.67
@pRese,0.16
@pREsm@,0.46
@pRizOnm@,1.8
@pR1,3.66
@byt,0.32
@ka,1.44
@d9OR,0.36
@tEt,0.44
@sefalogRam,0.58
@kadRe,0.15
@kadR9m@,0.64
@kadR9R,0.16
@kagule,0.14
@kEsm@,0.51
@kEs9R,0.69
@ka,0.4
@s@,2.44
@s@swaR,0.14
@SeRis9R,0.29
@SEnm@,1.22
@S@tm@,1.53
@S@t9R,1.22
@S9vEtR9m@,0.11
@klo,2.95
@k6bR,0.71
@k6bR9m@,0.23
@kORnE,0.15
@kuRaZm@,2.18
@kRije,0.45
@kyl9R,0.54
@digm@,0.11
@dOktRinm@,0.13
@doskOp,0.15
@dosm@,0.26
@dRwa,218.24
@d8i,0.4
@dyRsism@,0.4
@f@s6,0.1
@f@tm@,0.25
@f@tijaZ,1.47
@f@,735.59
@f@Robo,0.17
@fER,88.86
@fERm9m@,0.2
@fle,0.24
@fwaRe,39.56
@gaZe,1.56
@gaZm@,12.12
@Z5,11.25
@gum@,0.55
@gulv@,0.1
@guRdism@,0.53
@gRE,3.35
@gR9naZ,0.83
@Zol9R,0.19
@Z2,4.67
@Zoliv9R,0.59
@Zum@,0.14
@lEvm@,9.51
@lymin9R,0.4
@nEZm@,0.1
Enmi,92.37
@n8i,76.64
@kEt9R,4.06
@kikin9R,0.33
@Rolm@,0.25
@RaZe,0.79
@RZistR9m@,14.79
@RZistR9R,1
@RiSism@,0.2
@Robe,0.29
@sEN@,3.94
@sENm@,4.27
@s@bl,31.87
@tete,0.73
@tEtm@,1.27
@t@dm@,1.13
@t@d9R,0.28
@tERm@,27.33
@tuzjasm,7.09
@tje,3.76
@tonwaR,0.83
@tuRaZ,3
@tRakt,0.27
@tREnm@,20.31
@tREn9R,8.69
@tRakt,1.61
@tR5,3.82
@tR@,0.17
@tR9d2,0.34
@tR9d2gER,0.1
@tR2baj9R,0.14
@tR9Sa,0.21
@tR9k8is,0.22
@tR9Z@,0.14
@tR9Z@b,0.8
@tR9la,0.31
@tR9mEt9R,0.92
@tR9po,9.75
@tR9p6,0.13
@tR9pozaZ,0.11
@tR9pR9n9R,4.88
@tR9tj5,18.92
@vais9R,3.64
@vlOpm@,0.16
@vER,15.07
@vj2,0.52
@viROnm@,10.19
@viR6,6.25
@vutm@,0.71
@vwa,4.46
@vOl,2.5
@vwaje,5.35
@vwaj9R,0.21
Epsil6,0.47
ERmit,2.28
ER,0.45
ERzats,0.21
Eskabo,0.69
EskadR6,4.68
EskalatOR,0.5
Eskalje,32.29
EskaRgo,8.07
EskaRp5,0.77
esj@,0.62
Eskl@dR,0.37
EsklavaZ,7.14
Esklav,37.52
EskogRif,0.16
Esk6t,0.17
EskORt9R,0.32
Esko,0.14
EskRim9R,0.38
EskRo,9.27
Eskydo,3.03
Espast@,1.63
Espasm@,0.1
Espad6,0.8
EspaNOl,18.43
EspeR@to,0.22
Espj6,27.57
EspjonaZ,3.32
EspwaR,64.22
EspRi,155.82
Eskif,0.29
Eskimo,1.89
EskiR,0.31
esE,28.78
es5,0.97
Es5,0.97
esEjaZ,1.84
es@sjEl,11.64
Esj2,0.28
Esj2,0.1
esOR,0.7
esoRaZ,0.11
esufl9m@,0.19
Es8i,0.25
Es8iglas,1
Es8im5,0.23
Es8itu,0.11
est,81.74
EstabliSmEnt,0.26
Est,0.5
estER,0.25
Estetisj5,1.16
Estiv@,0.29
EstOk,0.16
Estoma,23.56
EstRag6,0.7
Est8ER,0.49
EstyRZ6,0.47
2kaliptys,0.83
2Zenizm,0.45
2nyk,1.79
2femizm,1.52
2Ro,9.84
2Rope5,3.38
2skeRa,1.3
ivEnt,0.14
Eksam@,0.19
Eksasosje,0.13
EksbOks9R,0.16
EksS@pj6,0.75
EksSof9R,0.14
Ekskop5,0.28
Eksdem6,0.1
Eksfj@se,0.18
Eksflik,0.27
EksmaRi,5.05
EksmEk,0.1
EkspatR6,0.2
Eksp9ti,0.68
EkspRezid@,0.71
EkstolaR,0.38
Eksvoto,0.48
Egzekyt@,0.31
Egzekyt9R,1.07
Egzekytif,0.79
Egzalte,0.56
Egzam,3.08
Egzam5,47.77
Egzaminat9R,1.11
EksE,7.67
Eksed@,0.87
Eksite,1.94
Eksit@,1.15
Ekskly,1.26
EkskRem@,1.83
Egz@plER,6.32
Egz@pl,93.2
EgzERsis,22.66
EgzERg,0.22
Egzibisjonizm,0.2
Egzil,6.04
Egzile,2.23
Ekso,0.11
EgzOd,0.43
EgzORsizm,2.09
Egzosk2lEt,0.36
Egzotizm,0.23
Ekspedj@,0.36
Ekspedit9R,1.4
EkspeRim@tat9R,0.14
EkspatRije,0.35
EkspER,20.14
EkspERk6tabl,0.23
Eksplwa,8
Eksplwate,0.46
Eksplwat@,0.46
Eksplwat9R,0.57
EksploRat9R,1.47
Eksplozif,10.04
EkspOR,0.58
Ekspoze,3.67
Ekspoz@,0.25
EkspRE,0.19
EkspREs,1.49
Ekspylse,0.94
EksteRj9R,25.53
EkstERminat9R,0.72
Ekst5kt9R,1.93
EkstRa,4.93
EkstRemizm,0.13
EkstREm,2.69
EkstRE,3.06
EkstRaORdinER,2.23
EkstRavag@,0.48
EgzytwaR,0.67
ajlajn9R,0.22
ajlajn9R,0.12
Ef,26.65
fa,5.23
fy,2.58
fek6dat9R,0.1
fekyl@,0.2
fedeRe,0.15
fedeRal,4.25
fedeRalizm,0.14
fedeRo,4.25
felibRiZ,0.14
felisite,2.12
fel5,0.35
fel6,0.5
femin5,1.09
feminizm,0.46
femyR,1.48
fetiS,1.48
fetiSizm,0.64
fety,0.2
fevRije,8.03
fyR9R,23.86
fEt,56.42
fele,1
fEle,1
fEtaR,0.77
fabRik@,3.67
faSo,1.17
fasjEs,0.21
fasilite,2.09
fakt9R,12.26
faksj2,0.24
faktotOm,0.66
faktyRje,0.14
fada,0.7
fado,3.33
fafjo,0.28
fago,0.19
fEN@,0.16
faji,0.16
fene@,3.87
fERplE,0.6
fERpaR,0.65
fERvalwaR,0.2
f9z@,1.13
fEso,1.71
f9z9R,1.89
fE,412.07
fEtu,0.2
fE,0.1
fakiR,0.72
falbala,0.16
falo,0.11
falzaR,0.36
familje,0.44
fankl9b,0.28
fana,0.61
fanal,0.34
fanatizm,0.54
fano,0.34
f@d@go,0.38
f@f@,1.22
f@faR6,0.9
fanj6,0.25
f@tom,48.23
f@tasm,9.18
f@tas5,0.78
f@tastik,9.06
f@tOS,0.48
f@zin,0.49
f@,0.53
fak5,0.45
faR,0.65
faRad,0.75
faRs9R,2.06
faR,1.69
faRdo,7.56
faRfadE,0.45
faRnjEnte,0.36
faRo,0.16
faRsi,0.39
faR,0.42
faSizm,1.94
fastfud,2.34
fat,2.29
fatalizm,0.19
fatRa,0.34
fo,0.14
fobuR,1.69
foS9R,2.07
foS6,0.18
fok6,5.93
fokOno,0.22
fokonje,0.25
fosER,1.22
fot9j,19.27
fot9R,0.88
fov,3.61
fo,5.71
foky,0.41
fof8ij@,0.22
fomonEj9R,0.26
fopa,0.38
fos@bl@,0.46
favoRi,3.22
favoRitizm,0.47
faks,5.59
fajo,0.42
fidbak,0.1
filiG,1.53
fEN@,1.51
fENas,0.72
fEldmaReSal,0.32
fela,0.14
f@dwaR,0.11
f9nuj,1.14
f@t6,0.43
fER,37.08
fERbl@tje,0.1
fERm@,0.2
fERmje,8.85
fERmwaR,0.38
fERaj9R,0.53
fERE,0.14
fERi,2.12
fERibOwt,0.14
fesje,0.33
fEsje,0.33
fEst5,4.5
fEstival,7.65
fEst6,0.17
f2,233.96
f9jaZ,1.68
f9jE,0.26
f9jte,0.79
f9jt6,2.81
f9jy,0.1
f2tR,1.45
fEz,0.42
fjakR,1.39
fj@se,51.51
fjasko,1.96
fiSje,11.1
fiSy,1.58
fikys,0.17
fideikomi,0.42
fjEf,3.38
fjEl,1.36
fild,0.47
fifi,0.98
fifR,0.1
fifR9l5,0.13
fiNolaZ,0.11
figje,1.79
figyR@,2.99
fil,64.92
file,0.4
filam@,0.4
filE,15.44
filigRan,0.45
fil5,0.44
fij9l,2.72
film,252.66
fil6,5.61
filu,2.48
fis,480.15
filtRaZ,0.26
filtR,4.54
f5,213.37
final,3.76
fin@sm@,2.9
fin@sje,1.69
fino,0.22
finiS,0.32
f5l@dE,0.41
finwa,0.54
fj6,1.77
fiRmam@,1.57
fisk,2.53
fist6,30.43
fitnEs,0.39
fjORd,1.07
flytjo,0.1
fleo,5.1
flet@,0.26
fletRism@,0.1
flak6,4.93
flag,0.57
flaZEle,0.1
flaZ2l@,0.11
flaZEl@,0.11
flaZolE,0.51
flagORn9R,0.33
flER,2.32
flam@,1.37
flam@,1.29
fl@bo,3.04
fl@b9R,1.18
flamEnko,1.04
fl@,2.36
fl@,5.57
flaS,8.52
flaSbak,0.33
flaSaZ,0.14
flaS,0.46
fla,0.63
flat9R,0.62
flEgm,0.22
flemaR,0.8
fl9RE,0.97
fl9R6,0.46
fl9v,21.58
flibystje,0.21
flik,153.5
flikaR,0.31
fl5g,44.48
fl5g9R,0.61
flip,1.63
flipe,0.11
flipe,1.93
flip9R,1.93
fl9Rt,2.29
fl9Rt9R,0.11
flok6,2.61
fl6fl6,0.22
flOp,0.76
floR5,3.55
flo,10.28
flOtm@,0.3
flot9R,0.7
flu,0.72
fluz,0.23
fl8id,3.27
flyOR,0.12
flyoRyR,0.17
fl9S,1.17
fly,4.07
fOk,0.31
fetys,3.06
fwa,23.48
fw5,6.73
fOlk,1.73
fOlklOR,0.86
folikyl,0.36
f6s9R,0.72
f6ksjOnm@,2.69
f6,110.07
f6d@,0.23
f6dat9R,5.11
f6dm@,2.47
f6d9R,0.34
f6,15.1
f6dy,0.73
f6tEnje,0.27
f6,0.1
fut,24.18
futbOl,13.93
futbOl9R,2.76
futbal9R,2.76
futiG,0.45
fOR,21.32
fORsa,1.26
foRaZ,0.91
foR5,0.44
fORb@,0.19
fORs9m@,0.81
fORs9ne,0.94
fORsEps,0.72
fORsiG,0.13
foREstje,0.38
foRE,1.56
fOR9R,1.2
foR9R,1.2
fORfE,2.03
fORZaZ,0.14
fORZ9R6,3.76
fORZ9R,0.15
foRint,0.14
fORmaldeid,0.34
fORmalizm,0.12
fORma,1.9
fORmika,0.28
fORmOl,0.88
fORmylER,9.73
fORnikat9R,0.51
fOR,13.49
fORtifj@,0.26
fORt5,0.33
fORtisimo,0.11
foROm,1.4
fose,4.71
fosil,2.02
foswaj9R,2.77
fu,94.17
fwE,8.56
fwete,0.24
fuEt9R,0.16
fwEt9R,0.16
fuji,0.81
fwinaR,0.13
fwin9R,0.8
fulaR,4.44
ful6,0.14
fuR,15.44
fuRb,1.52
fuRbi,0.78
fuRg6,8.69
fuRg,0.2
fuRmilje,1.1
fuRmijm@,0.16
fuRno,2.26
fuRni,0.26
fuRnim@,0.13
fuRnis9R,4.75
fuRe,1.18
fuRaZ,0.63
fuRtu,0.28
fuRo,0.79
fut9R,0.54
futwaR,2.15
futR,3.62
fOks,0.48
fOkstRo,0.5
fwaje,28.95
fRa,0.93
fRER,390.39
fRolm@,0.11
fRemism@,0.66
fRe6,0.21
fReRo,2.5
fREn,1.81
fRak,0.89
fRaka,4.17
fRagm@,4.57
fRE,26.81
fRezje,0.28
fR@bwazje,0.27
fR@sE,39.49
fR@,17.64
fR@Z2,0.56
fR@mas6,0.94
fR@paRle,0.53
fR@tiR9R,0.64
fR@Sism@,0.11
fR@sisk5,0.21
fR@Z5,9.03
fR@kizm,0.5
fRap9R,0.55
fRod9R,0.78
fREk,0.24
fRiz9R,1.08
fR5,10.25
fREnaZ,0.97
fR9l6,0.78
fR9lykE,0.51
fREnS,0.2
fRE,1.19
fR9t5,0.64
fRij@,0.21
fRik,109.01
fRikfRak,0.25
fRikOt9R,0.11
fRikot9R,0.11
fRidOl5,0.16
fRidol5,0.16
fRiZidER,1.2
fRigo,19.29
fRima,0.11
fRim9R,1.43
fRip6,0.88
fRisbi,1.35
fRiz6,0.1
fRizu,0.14
fRis6,8.62
fRits,1.72
fROk,6.92
fRwa,29.11
fRwasm@,0.23
fRomaZ,27.22
fRomaZe,0.32
fRom@,0.21
fR6sm@,0.27
fR6,41.03
fR6t6,0.1
fROtm@,0.68
fRoti,0.39
fRufRu,0.23
fRufRu,0.32
fRusaR,1.99
fR8i,39.45
fR8itje,0.14
fRystRe,0.78
fjul,1.03
fyZitif,4.96
fygy,0.27
fyg9R,0.83
ful,2.28
fymsigaREt,0.27
fymE,0.25
fym9R,3.85
fymje,18.74
fymwaR,0.31
fyn,2.85
fyneRaRjOm,0.55
fynikylER,0.2
fyReam9zyR,1.62
fyRE,0.87
fyRj2,1.84
fyR6kl,1.27
fyz5,0.33
fyzo,0.61
fyzlaZ,0.44
fyzibl,3.23
fyzi,48.61
fyzimitRaj9R,0.37
fyzilje,0.63
fyte,3.47
fytal,0.72
fyt6,0.32
fytyR,26.33
f8ijaR,1.15
Ze,10.92
ZEn,8.07
gaSi,6.24
gato,55.19
gat2,0.66
Ze@,11.67
Zemo,0.4
Zemism@,5.16
ZeneRal,124.83
ZeneRalisim,0.12
ZeneRalist,0.72
ZeneRat9R,8.96
ZeneRo,124.83
ZeneRik,1.71
Zenetisj5,0.6
Zeni,38.01
Zenit9R,0.51
Zenosid,1.25
Zenwa,0.37
Zenom,0.63
Zenotip,0.11
ZeRanjOm,1.09
ZeR@,6.45
Zit,1.2
ZEn9R,0.95
gabaRi,0.33
gabje,0.13
gabl,0.14
gadZEt,2.8
gad5,0.12
gadZo,0.54
gaf9R,0.1
gag,3.03
gaZ,15.31
gaN@,12.56
gaNp5,2.01
gaNp9ti,0.16
gaN9R,0.78
gajaR,3.4
g5,5.6
gal,0.29
gala,3.9
gal@,1.68
galE,1.18
galta,0.14
gal2,0.12
galisj5,0.34
galimatja,0.11
galj6,0.23
gal6,0.63
gal6,3.16
galo,2.83
galop5,0.88
gam,0.64
gaml@,0.25
gam5,92.22
gama,1.94
gan,0.27
g@d5,0.56
g@g,17.48
g@glij6,0.61
g@gstER,10.43
g@,25.02
g@tlE,0.37
g@tje,0.24
gaRs6,251.51
gaRsonE,0.27
gaRaZ,25.25
gaR@,0.97
gaRdenja,0.27
gaRd9kot,1.9
gaRd9Sas,0.22
gaRd9SjuRm,0.13
gaRd9fu,0.3
gaRd9fR6tjER,0.16
gaRdm@Ze,0.68
gaRd9m9bl,0.34
gaRd9m9bl,0.16
gaRd9vy,0.25
gaRd9kot,0.31
gaRdj5,31.92
gaRdj5SEf,0.22
gaRd6,1.06
gaRgotje,0.14
gaRguji,0.23
gaRibaldj5,0.4
gaRn9m@,1.94
gaRo,1.58
ga,289.63
gask6,0.44
gazwal,0.49
gaspatSo,1.38
gaspaR,0.54
gaspijaZ,1.92
goSe,1.1
goSo,0.35
gofRije,0.17
golajt9R,0.12
golwa,2.56
gE,7.6
gaz,36.33
gazOdyk,0.22
gazOl,0.22
gaz6,3.81
gazujm@,0.13
gazuji,0.3
gaspatSo,0.22
Zolje,1.6
ZE,0.27
ZEko,0.32
dZiz,0.13
ZENaR,0.22
ZENm@,0.11
Z5dR,1.41
ZEl,4.75
